127.0.0.1, 2018-09-22 18:02:56, GET, /, HTTP/1.1, 303, 0.003825
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.366652
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001185
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003030
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005241
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007971
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003160
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.007918
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001540
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004104
127.0.0.1, 2018-09-22 18:02:56, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002462
127.0.0.1, 2018-09-22 18:02:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001007
127.0.0.1, 2018-09-22 18:03:09, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.029086
127.0.0.1, 2018-09-22 18:03:12, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.037997
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/default/index, HTTP/1.1, 200, 0.212188
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.004015
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001310
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.002974
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003148
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.004545
127.0.0.1, 2018-09-22 18:03:17, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.015345
